Invoice Number,Date Time,Customer ID,Product ID,Quantity,Price per Unit,Return Status,Sales Channel,Total Sales,Customer Age Group,Region,Product Category,date,year
1010,2021-01-01 13:40:00,16,24,6,41.04,Not Returned,Online,246.24,26-35,West,Accessories,2021-01-01,2021
10103,2021-01-09 15:40:00,91,27,6,85.43,Not Returned,In-Store,512.58,36-45,East,Footwear,2021-01-09,2021
10107,2021-01-01 15:57:00,73,7,7,66.06,Not Returned,In-Store,462.42,56+,West,Footwear,2021-01-01,2021
10109,2021-01-02 03:58:00,55,21,1,41.16,Not Returned,Online,41.16,36-45,East,Clothing,2021-01-02,2021
10112,2021-01-06 18:07:00,9,33,5,77.3,Not Returned,In-Store,386.5,36-45,East,Accessories,2021-01-06,2021
10113,2021-01-04 16:03:00,66,1,1,28.42,Returned,In-Store,28.42,46-55,South,Accessories,2021-01-04,2021
10114,2021-01-09 13:48:00,21,9,3,95.21,Not Returned,Online,285.63,26-35,East,Footwear,2021-01-09,2021
10117,2021-01-08 03:42:00,2,26,4,71.8,Not Returned,In-Store,287.2,56+,East,Footwear,2021-01-08,2021
10118,2021-01-11 06:32:00,43,12,6,60.61,Not Returned,In-Store,363.66,46-55,West,Clothing,2021-01-11,2021
10119,2021-01-05 17:33:00,62,30,4,77.58,Not Returned,Online,310.32,46-55,East,Clothing,2021-01-05,2021
10120,2021-01-03 01:53:00,44,30,6,85.2,Not Returned,Online,511.2,26-35,East,Clothing,2021-01-03,2021
10121,2021-01-03 15:14:00,51,47,1,98.82,Not Returned,In-Store,98.82,46-55,East,Footwear,2021-01-03,2021
10122,2021-01-07 10:18:00,34,41,4,52.6,Not Returned,In-Store,210.4,18-25,North,Accessories,2021-01-07,2021
10123,2021-01-06 11:19:00,78,6,4,53.08,Not Returned,In-Store,212.32,46-55,South,Accessories,2021-01-06,2021
10124,2021-01-03 15:49:00,49,36,3,31.5,Not Returned,Online,94.5,26-35,West,Clothing,2021-01-03,2021
10125,2021-01-01 13:54:00,99,16,1,97.14,Not Returned,Online,97.14,26-35,South,Footwear,2021-01-01,2021
1012,2021-01-05 22:27:00,30,7,6,41.27,Not Returned,Online,247.62,46-55,East,Footwear,2021-01-05,2021
10128,2021-01-10 00:23:00,2,46,5,97.66,Not Returned,In-Store,488.3,56+,East,Clothing,2021-01-10,2021
10129,2021-01-03 09:48:00,96,4,4,78.55,Not Returned,Online,314.2,36-45,North,Clothing,2021-01-03,2021
10132,2021-01-02 21:29:00,5,48,2,92.08,Not Returned,In-Store,184.16,56+,West,Footwear,2021-01-02,2021
10133,2021-01-10 09:49:00,52,46,1,51.04,Not Returned,Online,51.04,46-55,East,Clothing,2021-01-10,2021
10134,2021-01-06 19:27:00,16,5,1,85.69,Not Returned,Online,85.69,26-35,West,Clothing,2021-01-06,2021
10136,2021-01-05 13:07:00,99,11,6,21.92,Not Returned,In-Store,131.52,26-35,South,Clothing,2021-01-05,2021
10137,2021-01-10 20:51:00,1,34,7,72.54,Not Returned,Online,507.78,46-55,West,Footwear,2021-01-10,2021
10140,2021-01-01 16:27:00,72,49,6,91.39,Not Returned,Online,548.34,56+,South,Footwear,2021-01-01,2021
10141,2021-01-05 11:11:00,46,37,1,70.63,Not Returned,In-Store,70.63,18-25,West,Footwear,2021-01-05,2021
10142,2021-01-10 05:48:00,34,3,4,82.1,Not Returned,Online,328.4,18-25,North,Footwear,2021-01-10,2021
10143,2021-01-10 03:13:00,95,24,2,33.22,Not Returned,Online,66.44,18-25,North,Accessories,2021-01-10,2021
10144,2021-01-04 07:38:00,12,36,4,25.2,Not Returned,In-Store,100.8,36-45,West,Clothing,2021-01-04,2021
1014,2021-01-05 08:46:00,70,45,6,45.97,Not Returned,Online,275.82,46-55,North,Footwear,2021-01-05,2021
10145,2021-01-06 08:06:00,51,3,5,81.23,Not Returned,In-Store,406.15,46-55,East,Footwear,2021-01-06,2021
10147,2021-01-03 23:06:00,66,33,7,63.77,Not Returned,Online,446.39,46-55,South,Accessories,2021-01-03,2021
10148,2021-01-11 06:45:00,80,43,5,22.43,Not Returned,In-Store,112.15,46-55,East,Clothing,2021-01-11,2021
10149,2021-01-03 00:07:00,67,22,2,69.61,Not Returned,Online,139.22,26-35,South,Clothing,2021-01-03,2021
10150,2021-01-07 06:04:00,81,20,1,74.27,Not Returned,In-Store,74.27,56+,West,Clothing,2021-01-07,2021
10152,2021-01-06 22:30:00,13,21,7,60.19,Not Returned,In-Store,421.33,56+,North,Clothing,2021-01-06,2021
1015,2021-01-10 09:52:00,96,3,6,50.49,Not Returned,In-Store,302.94,36-45,North,Footwear,2021-01-10,2021
10153,2021-01-06 19:52:00,3,28,5,85.08,Not Returned,Online,425.4,36-45,North,Footwear,2021-01-06,2021
10154,2021-01-08 16:16:00,76,16,1,36.9,Not Returned,In-Store,36.9,26-35,West,Footwear,2021-01-08,2021
10156,2021-01-09 14:32:00,46,37,4,22.51,Not Returned,Online,90.04,18-25,West,Footwear,2021-01-09,2021
10157,2021-01-03 17:49:00,60,3,7,99.7,Not Returned,Online,697.9,26-35,West,Footwear,2021-01-03,2021
10158,2021-01-08 18:24:00,2,45,6,65.75,Not Returned,In-Store,394.5,56+,East,Footwear,2021-01-08,2021
10159,2021-01-10 04:51:00,55,23,5,52.14,Not Returned,Online,260.7,36-45,East,Clothing,2021-01-10,2021
10161,2021-01-01 01:14:00,69,4,6,56.14,Not Returned,In-Store,336.84,46-55,South,Clothing,2021-01-01,2021
10162,2021-01-02 01:07:00,6,34,1,51.98,Not Returned,Online,51.98,26-35,South,Footwear,2021-01-02,2021
10163,2021-01-08 17:31:00,58,10,4,83.23,Not Returned,In-Store,332.92,26-35,West,Footwear,2021-01-08,2021
10164,2021-01-10 17:21:00,68,16,3,56.42,Not Returned,Online,169.26,26-35,North,Footwear,2021-01-10,2021
10165,2021-01-06 12:45:00,89,44,6,75.99,Not Returned,Online,455.94,46-55,North,Accessories,2021-01-06,2021
10167,2021-01-05 01:54:00,34,41,6,30.27,Not Returned,In-Store,181.62,18-25,North,Accessories,2021-01-05,2021
10168,2021-01-11 04:31:00,86,33,2,63.79,Not Returned,Online,127.58,18-25,East,Accessories,2021-01-11,2021
10169,2021-01-06 17:34:00,46,15,4,22.19,Returned,In-Store,88.76,18-25,West,Footwear,2021-01-06,2021
10170,2021-01-08 20:08:00,28,34,4,33.19,Not Returned,In-Store,132.76,26-35,South,Footwear,2021-01-08,2021
10171,2021-01-04 20:39:00,76,7,1,55.29,Not Returned,In-Store,55.29,26-35,West,Footwear,2021-01-04,2021
1017,2021-01-07 02:07:00,79,18,3,57.97,Not Returned,Online,173.91,46-55,South,Footwear,2021-01-07,2021
10172,2021-01-04 20:07:00,74,5,4,50.3,Not Returned,Online,201.2,26-35,West,Clothing,2021-01-04,2021
10173,2021-01-01 15:18:00,51,46,5,51.53,Not Returned,In-Store,257.65,46-55,East,Clothing,2021-01-01,2021
10174,2021-01-11 05:55:00,66,30,5,42.52,Not Returned,In-Store,212.6,46-55,South,Clothing,2021-01-11,2021
10175,2021-01-05 16:33:00,70,15,4,66.75,Not Returned,Online,267.0,46-55,North,Footwear,2021-01-05,2021
10176,2021-01-06 10:08:00,28,6,2,67.88,Not Returned,In-Store,135.76,26-35,South,Accessories,2021-01-06,2021
10177,2021-01-08 22:34:00,24,14,5,32.71,Not Returned,In-Store,163.55,18-25,South,Clothing,2021-01-08,2021
10178,2021-01-05 05:45:00,51,32,3,97.29,Not Returned,Online,291.87,46-55,East,Clothing,2021-01-05,2021
10180,2021-01-04 21:08:00,98,33,6,33.22,Not Returned,In-Store,199.32,26-35,East,Accessories,2021-01-04,2021
10182,2021-01-09 23:46:00,42,28,7,65.1,Not Returned,Online,455.7,18-25,East,Footwear,2021-01-09,2021
10183,2021-01-02 22:24:00,48,36,5,80.45,Not Returned,Online,402.25,56+,West,Clothing,2021-01-02,2021
1018,2021-01-09 19:53:00,26,36,6,46.88,Not Returned,Online,281.28,36-45,East,Clothing,2021-01-09,2021
10185,2021-01-06 12:08:00,33,21,1,60.6,Not Returned,Online,60.6,46-55,East,Clothing,2021-01-06,2021
10186,2021-01-04 22:43:00,84,40,6,38.01,Not Returned,In-Store,228.06,56+,West,Accessories,2021-01-04,2021
10187,2021-01-01 05:32:00,17,22,6,86.32,Not Returned,Online,517.92,46-55,South,Clothing,2021-01-01,2021
10188,2021-01-07 17:24:00,44,20,3,99.7,Not Returned,Online,299.1,26-35,East,Clothing,2021-01-07,2021
10189,2021-01-05 15:35:00,87,10,5,88.87,Not Returned,In-Store,444.35,18-25,South,Footwear,2021-01-05,2021
10190,2021-01-09 02:12:00,59,27,3,95.55,Not Returned,In-Store,286.65,46-55,North,Footwear,2021-01-09,2021
10191,2021-01-03 04:18:00,71,45,1,32.36,Not Returned,Online,32.36,18-25,North,Footwear,2021-01-03,2021
10192,2021-01-07 00:47:00,62,32,3,33.21,Not Returned,Online,99.63,46-55,East,Clothing,2021-01-07,2021
1019,2021-01-03 20:33:00,38,32,3,66.57,Not Returned,Online,199.71,56+,South,Clothing,2021-01-03,2021
10193,2021-01-11 09:41:00,72,30,1,34.8,Not Returned,In-Store,34.8,56+,South,Clothing,2021-01-11,2021
10194,2021-01-04 22:30:00,40,41,7,31.96,Not Returned,Online,223.72,26-35,East,Accessories,2021-01-04,2021
10195,2021-01-04 09:51:00,29,5,1,79.53,Not Returned,Online,79.53,46-55,East,Clothing,2021-01-04,2021
10196,2021-01-11 05:48:00,26,4,6,83.93,Not Returned,In-Store,503.58,36-45,East,Clothing,2021-01-11,2021
10197,2021-01-07 00:25:00,7,9,6,38.97,Not Returned,Online,233.82,18-25,North,Footwear,2021-01-07,2021
10198,2021-01-11 01:16:00,71,4,4,33.27,Not Returned,Online,133.08,18-25,North,Clothing,2021-01-11,2021
10199,2021-01-10 06:13:00,99,47,2,21.01,Not Returned,Online,42.02,26-35,South,Footwear,2021-01-10,2021
10201,2021-01-07 14:00:00,85,43,4,80.77,Not Returned,Online,323.08,18-25,North,Clothing,2021-01-07,2021
1020,2021-01-09 15:53:00,4,22,6,48.18,Not Returned,In-Store,289.08,56+,West,Clothing,2021-01-09,2021
10202,2021-01-02 08:52:00,86,50,1,58.33,Not Returned,Online,58.33,18-25,East,Accessories,2021-01-02,2021
10205,2021-01-03 03:11:00,71,45,2,32.19,Not Returned,In-Store,64.38,18-25,North,Footwear,2021-01-03,2021
10209,2021-01-08 20:16:00,73,36,2,87.07,Not Returned,Online,174.14,56+,West,Clothing,2021-01-08,2021
10210,2021-01-01 01:55:00,95,37,6,90.36,Not Returned,Online,542.16,18-25,North,Footwear,2021-01-01,2021
10211,2021-01-08 18:31:00,88,32,4,29.29,Not Returned,Online,117.16,18-25,North,Clothing,2021-01-08,2021
10212,2021-01-07 10:13:00,63,45,7,40.48,Not Returned,Online,283.36,56+,East,Footwear,2021-01-07,2021
1021,2021-01-09 11:14:00,66,28,2,47.37,Not Returned,Online,94.74,46-55,South,Footwear,2021-01-09,2021
10213,2021-01-02 15:27:00,63,33,6,53.53,Not Returned,In-Store,321.18,56+,East,Accessories,2021-01-02,2021
10214,2021-01-02 15:24:00,72,17,5,78.92,Not Returned,Online,394.6,56+,South,Accessories,2021-01-02,2021
10216,2021-01-09 03:57:00,3,25,7,33.71,Not Returned,In-Store,235.97,36-45,North,Clothing,2021-01-09,2021
10217,2021-01-04 09:26:00,70,49,6,42.0,Not Returned,Online,252.0,46-55,North,Footwear,2021-01-04,2021
10219,2021-01-09 21:39:00,58,37,3,91.25,Not Returned,In-Store,273.75,26-35,West,Footwear,2021-01-09,2021
10220,2021-01-06 13:55:00,95,46,6,58.65,Not Returned,In-Store,351.9,18-25,North,Clothing,2021-01-06,2021
10221,2021-01-04 17:57:00,18,2,7,70.65,Not Returned,In-Store,494.55,56+,East,Clothing,2021-01-04,2021
10222,2021-01-02 05:51:00,37,41,4,63.78,Not Returned,Online,255.12,36-45,South,Accessories,2021-01-02,2021
1022,2021-01-05 03:59:00,76,28,7,25.54,Not Returned,Online,178.78,26-35,West,Footwear,2021-01-05,2021
10224,2021-01-05 11:54:00,26,10,7,40.46,Not Returned,Online,283.22,36-45,East,Footwear,2021-01-05,2021
10225,2021-01-03 00:42:00,82,3,4,85.97,Not Returned,Online,343.88,18-25,South,Footwear,2021-01-03,2021
10227,2021-01-02 06:24:00,24,46,6,69.2,Not Returned,In-Store,415.2,18-25,South,Clothing,2021-01-02,2021
10228,2021-01-10 15:49:00,85,3,4,93.91,Not Returned,In-Store,375.64,18-25,North,Footwear,2021-01-10,2021
10229,2021-01-09 21:57:00,63,40,5,66.94,Not Returned,In-Store,334.7,56+,East,Accessories,2021-01-09,2021
10230,2021-01-10 10:07:00,22,16,3,90.88,Not Returned,Online,272.64,56+,North,Footwear,2021-01-10,2021
10231,2021-01-11 04:57:00,48,17,3,47.47,Not Returned,Online,142.41,56+,West,Accessories,2021-01-11,2021
10232,2021-01-06 04:44:00,20,18,3,92.43,Not Returned,In-Store,277.29,46-55,North,Footwear,2021-01-06,2021
10233,2021-01-03 10:58:00,74,40,1,81.8,Not Returned,Online,81.8,26-35,West,Accessories,2021-01-03,2021
10234,2021-01-02 17:16:00,53,32,2,94.36,Not Returned,Online,188.72,46-55,East,Clothing,2021-01-02,2021
1023,2021-01-05 08:31:00,64,49,5,36.51,Not Returned,Online,182.55,26-35,South,Footwear,2021-01-05,2021
10236,2021-01-06 14:08:00,91,9,6,88.56,Not Returned,In-Store,531.36,36-45,East,Footwear,2021-01-06,2021
10237,2021-01-10 11:53:00,58,13,5,29.01,Not Returned,In-Store,145.05,26-35,West,Footwear,2021-01-10,2021
10238,2021-01-06 21:08:00,22,3,2,71.77,Returned,In-Store,143.54,56+,North,Footwear,2021-01-06,2021
10239,2021-01-02 03:12:00,25,13,2,38.12,Not Returned,Online,76.24,18-25,East,Footwear,2021-01-02,2021
10241,2021-01-03 17:06:00,36,14,7,34.89,Not Returned,Online,244.23,56+,East,Clothing,2021-01-03,2021
10242,2021-01-04 16:17:00,86,39,5,20.67,Not Returned,In-Store,103.35,18-25,East,Accessories,2021-01-04,2021
10243,2021-01-08 08:02:00,32,39,2,32.28,Not Returned,Online,64.56,46-55,East,Accessories,2021-01-08,2021
1024,2021-01-08 21:38:00,49,34,7,99.51,Not Returned,Online,696.57,26-35,West,Footwear,2021-01-08,2021
10244,2021-01-01 06:38:00,11,21,7,29.87,Not Returned,Online,209.09,46-55,South,Clothing,2021-01-01,2021
10245,2021-01-07 04:34:00,2,9,6,33.87,Not Returned,Online,203.22,56+,East,Footwear,2021-01-07,2021
10246,2021-01-08 22:25:00,75,14,6,78.21,Not Returned,Online,469.26,56+,West,Clothing,2021-01-08,2021
10247,2021-01-07 23:26:00,78,47,2,62.55,Not Returned,In-Store,125.1,46-55,South,Footwear,2021-01-07,2021
10248,2021-01-05 19:46:00,80,17,5,45.25,Not Returned,In-Store,226.25,46-55,East,Accessories,2021-01-05,2021
10249,2021-01-04 16:30:00,10,9,6,72.83,Not Returned,Online,436.98,56+,East,Footwear,2021-01-04,2021
10250,2021-01-06 01:32:00,79,37,6,72.62,Not Returned,In-Store,435.72,46-55,South,Footwear,2021-01-06,2021
10251,2021-01-08 02:02:00,91,43,4,44.84,Not Returned,Online,179.36,36-45,East,Clothing,2021-01-08,2021
1025,2021-01-05 17:43:00,50,39,1,81.98,Not Returned,Online,81.98,46-55,South,Accessories,2021-01-05,2021
10254,2021-01-01 13:35:00,56,32,6,24.29,Not Returned,In-Store,145.74,18-25,East,Clothing,2021-01-01,2021
10255,2021-01-07 20:14:00,18,20,6,79.53,Not Returned,In-Store,477.18,56+,East,Clothing,2021-01-07,2021
10256,2021-01-03 13:59:00,47,8,7,38.96,Not Returned,In-Store,272.72,26-35,East,Accessories,2021-01-03,2021
10257,2021-01-08 22:47:00,59,47,5,83.97,Not Returned,In-Store,419.85,46-55,North,Footwear,2021-01-08,2021
10258,2021-01-04 13:44:00,91,23,5,39.52,Not Returned,In-Store,197.6,36-45,East,Clothing,2021-01-04,2021
10259,2021-01-07 04:48:00,8,47,6,55.9,Not Returned,In-Store,335.4,56+,West,Footwear,2021-01-07,2021
10260,2021-01-06 11:20:00,10,21,2,83.42,Not Returned,Online,166.84,56+,East,Clothing,2021-01-06,2021
10261,2021-01-03 01:32:00,12,39,4,25.35,Not Returned,In-Store,101.4,36-45,West,Accessories,2021-01-03,2021
10262,2021-01-01 01:27:00,67,11,3,57.3,Not Returned,Online,171.9,26-35,South,Clothing,2021-01-01,2021
1026,2021-01-11 00:53:00,93,3,1,67.86,Not Returned,Online,67.86,36-45,North,Footwear,2021-01-11,2021
10264,2021-01-07 20:43:00,16,50,3,72.71,Not Returned,Online,218.13,26-35,West,Accessories,2021-01-07,2021
